Id,groupId,matchId,assists,boosts,damageDealt,DBNOs,headshotKills,heals,killPlace,killPoints,kills,killStreaks,longestKill,maxPlace,numGroups,revives,rideDistance,roadKills,swimDistance,teamKills,vehicleDestroys,walkDistance,weaponsAcquired,winPoints
47779,1661256,47779,0,3,200,1,2,2,10,1300,2,2,24,48,44,0,0,0,0,0,0,2266,4,1540
47780,1661317,47780,1,2,174,1,0,1,59,1564,0,0,0,50,48,0,0,0,0,0,0,1012,3,1556
47781,1661357,47781,0,1,246,2,0,1,13,1018,2,1,15,49,48,0,0,0,0,0,0,724,3,1528
47782,1661433,47782,0,0,53,0,0,0,77,1036,0,0,0,48,46,0,0,0,0,0,0,183,3,1487
47783,1661451,47783,2,0,1110,9,4,2,2,1000,11,2,27,6,6,0,0,0,0,0,0,354,14,1500
47784,1661486,47784,0,4,0,0,0,4,45,1000,0,0,0,31,30,1,0,0,0,0,0,2803,6,1500
47785,1661502,47785,0,0,0,0,0,0,53,1123,0,0,0,44,42,0,0,0,0,0,0,282,2,1499
47786,1661537,47786,0,0,27,0,0,0,63,1000,0,0,0,19,19,0,0,0,0,0,0,10,0,1500
47787,1661554,47787,0,0,105,1,1,0,16,1071,2,1,6,48,43,0,0,0,0,0,0,804,9,1515
47788,1661614,47788,1,0,241,2,0,0,42,1205,1,1,32,49,47,0,0,0,0,0,0,221,4,1492
47789,1661672,47789,0,0,66,0,0,0,81,1074,0,0,0,48,48,0,0,0,0,0,0,78,1,1536
47790,1661724,47790,1,2,78,0,0,5,39,1109,0,0,0,26,25,1,5310,0,0,0,0,1667,5,1512
47791,1661760,47791,0,0,266,1,0,0,26,1360,2,2,22,49,49,0,0,0,0,0,0,125,3,1453
47792,1661781,47792,1,1,468,4,1,1,14,989,2,1,27,26,22,0,0,0,0,0,0,2168,3,1496
47793,1661804,47793,0,0,32,0,0,0,33,1166,0,0,0,13,13,0,0,0,0,0,0,266,5,1557
47794,1661824,47794,0,0,23,0,0,0,71,1002,0,0,0,25,24,0,0,0,0,0,0,556,3,1497
47795,1661859,47795,0,5,228,1,0,3,45,1181,0,0,0,30,28,1,0,0,62,0,0,3358,4,1469
47796,1661889,47796,0,4,266,2,0,1,21,1248,1,1,151,29,29,0,0,0,0,0,0,2927,5,1520
47797,1661895,47797,3,3,746,4,3,4,1,1000,7,2,102,22,21,1,0,0,0,0,0,1953,3,1500
47798,1661925,47798,1,1,24,0,0,3,62,1000,0,0,0,19,19,0,0,0,0,0,0,135,2,1500
47799,1661942,47799,0,0,248,0,0,0,33,1000,1,1,3,29,29,0,2322,0,0,0,0,424,5,1500
47800,1662064,47800,1,2,59,1,0,2,15,1268,2,2,38,29,29,0,778,0,0,0,0,1632,9,1523
47801,1662086,47801,1,1,265,2,0,3,15,1000,2,1,17,21,20,0,0,0,0,0,0,1340,4,1500
47802,1662114,47802,0,1,0,0,0,0,56,1115,0,0,0,96,93,0,0,0,0,0,0,719,10,1559
47803,1662263,47803,0,0,0,0,0,0,86,1461,0,0,0,99,95,0,0,0,0,0,0,14,1,1441
47804,1662289,47804,0,0,92,0,0,2,57,1499,0,0,0,50,49,0,0,0,3,0,0,1210,2,1596
47805,1662400,47805,0,0,0,0,0,0,79,995,0,0,0,93,90,0,0,0,0,0,0,91,2,1495
47806,1662437,47806,0,1,34,0,0,1,51,1311,0,0,0,27,25,0,0,0,0,0,0,1448,6,1550
47807,1662465,47807,0,0,218,2,0,0,38,1445,1,1,71,50,49,0,0,0,0,0,0,203,2,1502
47808,1662510,47808,3,2,163,1,0,0,24,1322,1,1,50,27,25,0,0,0,0,0,0,3741,5,1609
47809,1662518,47809,3,1,247,1,0,1,9,1116,3,2,106,49,47,0,0,0,0,0,0,1707,5,1510
47810,1662598,47810,0,0,66,0,0,0,84,1129,0,0,0,29,26,0,0,0,0,0,0,157,2,1500
47811,1662613,47811,0,1,199,1,1,1,9,1055,3,2,172,48,47,0,1074,0,0,0,0,2980,5,1508
47812,1662662,47812,1,2,56,0,0,0,57,1000,0,0,0,20,19,0,0,0,0,0,0,442,3,1500
47813,1662690,47813,0,0,28,0,0,0,83,1000,0,0,0,25,25,0,0,0,0,0,0,45,4,1500
47814,1662717,47814,0,0,0,0,0,0,89,1003,0,0,0,29,28,0,0,0,0,0,0,17,1,1494
47815,1662751,47815,0,2,51,0,0,4,47,1043,0,0,0,26,25,0,0,0,0,0,0,2196,4,1466
47816,1662791,47816,0,0,22,0,0,0,88,1048,0,0,0,48,46,0,0,0,0,0,0,7,1,1486
47817,1662818,47817,0,2,100,0,1,0,28,1000,1,1,35,85,82,0,818,0,0,0,0,1230,9,1500
47818,1662900,47818,2,4,540,3,1,2,7,1000,4,1,95,22,22,2,0,0,0,0,0,1016,3,1500
47819,1662912,47819,0,0,75,0,0,0,34,1128,1,1,1,30,28,0,0,0,0,0,0,190,2,1497
47820,1662972,47820,0,0,50,0,0,0,45,1000,0,0,0,27,25,0,0,0,0,0,0,41,2,1500
47821,1662978,47821,0,2,56,0,0,1,45,1213,0,0,0,47,43,0,0,0,448,0,0,3701,5,1509
47822,1663032,47822,0,0,0,0,0,0,44,1101,1,1,3,29,27,0,0,0,0,0,0,33,1,1512
47823,1663060,47823,0,0,43,0,0,0,83,1107,0,0,0,27,22,0,0,0,0,0,0,125,2,1522
47824,1663083,47824,0,0,171,1,0,0,33,1374,1,1,18,29,28,1,0,0,0,0,0,79,3,1576
47825,1663100,47825,0,5,396,0,1,1,8,1042,3,1,165,93,87,0,0,0,0,0,0,4004,6,1478
47826,1663211,47826,0,0,122,0,0,0,38,1377,1,1,25,50,50,0,0,0,0,0,0,534,3,1516
47827,1663264,47827,0,2,102,1,0,5,38,1168,1,1,20,49,42,0,0,0,0,0,0,88,3,1560
47828,1663279,47828,0,1,6,0,0,0,47,1015,0,0,0,50,48,0,820,0,0,0,0,2177,3,1532
47829,1663330,47829,0,0,30,0,0,0,58,1000,0,0,0,26,24,0,312,0,0,0,0,1528,3,1489
47830,1663401,47830,1,3,120,1,1,6,24,1000,1,1,2,27,25,3,0,0,0,0,0,3069,5,1504
47831,1663439,47831,0,0,170,1,0,0,25,1036,1,1,27,28,27,0,286,0,0,0,0,2429,3,1490
47832,1663471,47832,0,1,0,0,0,0,44,1031,0,0,0,29,29,0,0,0,54,0,0,2127,3,1486
